Id,Title,Authors,Publication,Reference/textbook book?,Editions,Price (MRP),Department (Branch),Course,Semester,Subject,University,Uploader
2,Designs of machine elements - I,R. B. Patil,Techmax Publication,Textbook,,545,Mechanical,2012,Semester 5,Design of machine elements- I,Pune University,Aishwarya Awasthi
3,Designs of machine elements - I,Z,Technical Publication,Textbook,,575,Mechanical,2012,Semester 5,Design of machine elements- I,Pune University,Aishwarya Awasthi
4,Process control instrumentation technology,Curtis D. Johnson,PHI,Reference,8th edition,495,Instrumentation and control,2013,Semester 4,Transducer and Signal Conditioning,Pune University,Swamini Kulkarni
5,Industrial Control hand book,Andrew Parr,Newnes Industrial Press,Reference,3rd edition,,Instrumentation and control,2013,Semester 4,Transducer and Signal Conditioning,Pune University,Swamini Kulkarni
6,Electrical and Electronics Measurement and Instrumentation,A.K. Sawhney,Dhanpat Rai & Co.,Reference,,508,Instrumentation and control,2013,Semester 4,Electronic Instrumentation,Pune University,Swamini Kulkarni
7,Electronic Instrumentation and Measurement Techniques,H. Cooper,PHI,Reference,-,350,Instrumentation and control,2013,Semester 4,Electronic Instrumentation,Pune University,Swamini Kulkarni
8,Electrical and Electronic Measurements and Instrumentation,David A. Bell,PHI,Reference,4th edition,580,Instrumentation and control,2013,Semester 4,Electronic Instrumentation,Pune University,Swamini Kulkarni
9,Electronic Instruments and Instrumentation Technology,Anand M. M. S,PHI,Reference,1st edition,395,Instrumentation and control,2013,Semester 4,Electronic Instrumentation,Pune University,Swamini Kulkarni
10,Linear Control Systems,B. S. Manke,Khanna Publication,Reference,,285,Instrumentation and control,2013,Semester 4,Automatic Control System,Pune University,Swamini Kulkarni
11,Modern Control Engineering,K. Ogata,PHI,Reference,2nd edition,550,Instrumentation and control,2013,Semester 4,Automatic Control System,Pune University,Swamini Kulkarni
12,Control System Engineering,Norman S. Nise,,Reference,,739,Instrumentation and control,2013,Semester 4,Automatic Control System,Pune University,Swamini Kulkarni
13,Digital Principals & Applications,Malvino and leach,TMH,Reference,4th edition,465,Instrumentation and control,2013,Semester 4,Digital Techniques,Pune University,Swamini Kulkarni
14,Digital Principles,Flyod,Pearson Education,Reference,,,Instrumentation and control,2013,Semester 4,Digital Techniques,Pune University,Swamini Kulkarni
15,Power Electronics,"MD Singh, K B Khanchandani",McGraw Hill Company,Reference,2nd edition,575,Instrumentation and control,2013,Semester 4,Industrial Drives,Pune University,Swamini Kulkarni
16,Electrical machines Vol II,B. L. Thareja,S. chand& Suns,Reference,2009,490,Instrumentation and control,2013,Semester 4,Industrial Drives,Pune University,Swamini Kulkarni
